Profundidad,Abies,Acacia,Agave,Alnus oblongifolia,Anisacanthus type,Arbutus,Berberis,Bursera,Bursera laxiflora,Bursera microphylla,Cactoideae,Canotia type,Ceiba,Celtis,Cf. Populus,Cylindropuntia,Dasylirion,Desmanthus,Dodonaea viscosa,Ephedra,Fraxinus,Juglans,Juniperus,Mimosa,Opuntia,Parkinsonia aculeata,Picea,Pinus,Prosopis,Prunus,Quercus,Rutaceae,Salix,Sambucus type,Tecoma stans,Acanthaceae,Allionia,Amaranthaceae,Ambrosia,Apiaceae,Artemisia ludoviciana,Asteroideae,Boerhavia type,Boraginaceae,Brassicaceae,Callaeum macropterum,Caryophyllaceae,Cichorioideae,Cirsium,Clematis,Convolvulaceae,Crassulaceae,Croton type,Cucurbitaceae,Cyperaceae,Dalea,Dicliptera,Eriogonum,Eustoma,Euphorbiaceae,Euphorbia ,Evolvulus,Faboideae,Gentianaceae,Hibiscus type,Ipomoea,Justicia californica,Kallstroemia ,Lamiaceae,Lippia type,Lotus type,Lythrum,Manihot,Marina,Mitracarpus,Monocotyledoneae,Nama,Oenothera,Onagraceae,Plantago,Poaceae,Poaceae >60µm,Polemoniaceae,Polygonum,Ranunculaceae,Rhamnaceae,Rosaceae,Rubiaceae,Solanaceae,Sida,Sphaeralcea type,Tetramerium nervosum,Tribulus ,Trixis californica,Typha tetrads,Typha monads,Urtica,Verbenaceae,Zea mays,Zygophyllaceae,Adiantum,Anemia,Asplenium ,Botrychium,Cheilanthes,Gymnocarpium,Lygodium cf.,Monoleta,Ophioglossum,Osmunda,Reticulate trilete,Selaginella,Pellaea,Spore trilete without perine,Unknown trilete,Indeterminados,Indeterminables
180,0,0,0,0,0,0,0,0,0,0,0,0,0,1.818,0,0,0,0,0,0,0,0,0,0,0,0,0,23.636,0.909,0,9.091,0,0,0,0,0,0,17.273,10.909,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,1.818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.636,0,0,0,0,0,0.909,0,0,0,0,0,0,0,0,0,0.909,0,0,0,2.727,0.909
183,0,0,0,0,0,0,0,0,0,0.87,0,0,0,0,0,0,0,0,0,0,0,0,1.739,0,0,0,0,17.391,0,0,15.652,0,0,0,0,0,0,16.522,2.609,0,0,10.435,0,0,0,0,0,0,0,0,0,0,0,0,5.217,0,0,0,0,1.739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.87,0,0,1.739,0,0.87,6.087
186,0,0,0,0,0,0,0,0,0,0,0.332,0.332,0,0.997,0,0,0,0,0,0,0,0,0.332,0,0,0,0,8.306,0,0,16.279,0,0,0,0,0,0,29.236,0.997,0,0.997,7.309,0.664,0,0,0,0,0,0,0,0,0,0,0,5.98,0,0,0,0,0.997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.272,0.997,0,0,0,0,0,0,0,0,0,0,0,0,0,0.332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.664,0,2.99,3.987
189,0,0,0,0.667,0,0,0,0,0,0.333,0,0,0,2.333,0,0,0,0,0.333,0,0,0,0,0,0,0,0,10.333,0.333,0,16.667,0,0,0,0,0,0,33,3.667,0,1,8.667,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.667,0.667,1.333
192,0,0,0,0.656,0,0,0,0,0,0,0,0,0,0.328,0,0,0,0,0,0,0,0,0.328,0,0,0,0,9.836,0,0,12.787,0,0,0,0,0,0,16.393,25.574,0,3.279,7.541,0,0,0,0,0,0.328,0,0,0,0,0,0,1.311,0,0,0,0,0.656,0,0,0,0,0,0,0,0,0,0,0,0.328,0,0,0,0,0,0,0,0,16.721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.328,0,0.328,2.295
195,0,0,0,0.61,0,0,0,0,0,0,0,0,0,1.22,0,0,0,0,0,0,0,0,0,0,0,0,0,9.756,0,0,12.195,0,0,0,0,0,0,17.683,20.122,0,0,8.537,0,0,0,0,0,0,0,0,0,0,0,0,6.707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.61,0.61
198,0,0,0,0,0,0,0,0,0,0,0,0,0,0.651,0,0,0,0,0,0,0,0,0,0,0,0,0,13.355,0,0,14.984,0,0.326,0,0,0,0,21.173,17.59,0,1.954,5.212,0,0,0,0,0.326,0,0.326,0,0,0,0,0,4.235,0,0,0,0,1.303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.651,0,0,0.326,0,0,1.629
201,0,0,0,0,0,0,0,0,0,0,0,0,0,0.332,0,0,0,0,0,0,0,0,1.329,0,0,0.332,0,19.601,0,0,9.302,0,0.332,0,0,0,0,12.292,20.598,0,1.993,4.651,0,0,0,0,0,0,0,0,0,0,0,0,5.316,0,0,0,0,0.664,0,0,0,0,0,0.332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.618,0.332,0,0,0,0,0,0,0,0,0,0,0,0,0,2.326,0,0,0,0,0,0,0,0,0.332,0,0,0,0,0,0.332,0,0,0.664,0,0,4.319
204,0,0,0,0.313,0,0,0,0,0,0,0,0.625,0,0.313,0,0,0,0,0,0,0,0,0.625,0,0,0,0,17.188,0,0,11.563,0,0,0,0,0,0,11.25,17.188,0,1.25,5,0.313,0,0,0,0,0,0,0,0,0,0,0,6.563,0,0,0,0,0.313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.875,0,0,0,0,0,0,0,0,0.313,0,0,0,0,0,0.313,0,0,1.563,0,0,2.188
207,0,0,0,0,0,0,0,0,0,0,0,0.321,0,0.641,0,0,0,0,0,0,0,0,0,0,0,0,0,13.782,0,0,14.103,0,0,0,0,0,0,10.256,27.564,0,2.244,1.923,0.321,0,0,0,0,0,0,0,0,0,0,0,3.205,0,0,0,0,0.321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.513,0.641,0,0,0,0,0,0,0,0,0,0,0,0,0,1.603,0,0,0,0,0,0.321,0,0,0.321,0,0,0.321,0,0,0,0,0,0.321,0,0,1.282
